"Grant_Application_ID"	"RFCD_Code"	"RFCD_Percentage"	"SEO_Code"	"SEO_Percentage"	"Person_ID"	"Role"	"Year_of_Birth"	"Country_of_Birth"	"Home_Language"	"Dept_No"	"Faculty_No"	"With_PHD"	"No_of_Years_in_Uni_at_Time_of_Grant"	"Number_of_Successful_Grant"	"Number_of_Unsuccessful_Grant"	"A2"	"A"	"B"	"C"	"Grant_Status"	"Sponsor_Code"	"Contract_Value_Band"	"Grant_Category_Code"
15	""	""	""	""	""	"EXT_CHIEF_INVESTIGATOR"	""	""	""	""	""	""	"DurationUnk"	""	""	""	""	""	""	1	"Sponsor2B"	"ContractValueBandUnk"	"GrantCat10A"
16	"RFCD321099"	100	"SEO730111"	100	69482	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	""	"Dept2883"	"Faculty25"	"Yes"	"Duration0to5"	0	1	0	0	2	2	0	"Sponsor100D"	"ContractValueBandUnk"	"GrantCat10B"
17	"RFCD270603"	33	"SEO730116"	33	1797	"CHIEF_INVESTIGATOR"	"1960"	"NorthAmerica"	""	"Dept2678"	"Faculty25"	"Yes"	"Duration5to10"	2	7	0	8	4	0	0	"Sponsor1A"	"ContractValueBandUnk"	"GrantCat10A"
18	"RFCD300903"	33	"SEO759900"	33	26882	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	""	"Dept2523"	"Faculty25"	"Yes"	"Duration0to5"	1	0	0	2	1	2	1	"Sponsor21A"	"ContractValueBandUnk"	"GrantCat50A"
19	"RFCD270899"	20	""	""	""	"EXT_CHIEF_INVESTIGATOR"	""	""	""	""	""	""	"DurationUnk"	""	""	""	""	""	""	1	"Sponsor2B"	"ContractValueBandF"	"GrantCat10A"
19	"RFCD300508"	40	"SEO780105"	100	69517	"PRINCIPAL_SUPERVISOR"	"1950"	"Australia"	"English"	"Dept1258"	"Faculty34"	"Yes"	"DurationGT15"	0	0	6	4	6	32	1	"Sponsor2B"	"ContractValueBandF"	"GrantCat10A"
19	"RFCD270201"	40	""	""	66672	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	""	"Dept1258"	"Faculty34"	"Yes"	"Duration10to15"	2	0	0	0	0	0	1	"Sponsor2B"	"ContractValueBandF"	"GrantCat10A"
19	""	""	""	""	""	"EXT_CHIEF_INVESTIGATOR"	""	""	""	""	""	""	"DurationUnk"	""	""	""	""	""	""	1	"Sponsor2B"	"ContractValueBandF"	"GrantCat10A"
20	"RFCD380103"	100	"SEO730211"	100	592577	"CHIEF_INVESTIGATOR"	"1975"	""	""	"Dept2558"	"Faculty25"	""	"DurationUnk"	0	1	0	0	0	0	0	"Sponsor24D"	"ContractValueBandA"	"GrantCat30B"
21	"RFCD270103"	20	"SEO730108"	40	15282	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	"English"	"Dept2713"	"Faculty25"	"Yes"	"Duration5to10"	1	1	1	1	2	0	1	"Sponsor148D"	"ContractValueBandA"	"GrantCat30B"
22	"RFCD370107"	100	"SEO759999"	100	25947	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	""	"Dept1038"	"Faculty1"	""	"DurationUnk"	1	1	0	0	0	0	0	"Sponsor12D"	"ContractValueBandUnk"	"GrantCat30B"
23	"RFCD321021"	40	"SEO730211"	100	9067	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	""	"Dept2538"	"Faculty25"	"Yes"	"DurationGT15"	3	3	6	12	2	2	0	"Sponsor62B"	"ContractValueBandUnk"	"GrantCat10B"
23	"RFCD321204"	30	""	""	65807	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	""	"Dept2768"	"Faculty25"	""	"DurationGT15"	0	0	0	0	0	0	0	"Sponsor62B"	"ContractValueBandUnk"	"GrantCat10B"
23	""	""	""	""	""	"EXT_CHIEF_INVESTIGATOR"	""	""	""	""	""	""	"DurationUnk"	""	""	""	""	""	""	0	"Sponsor62B"	"ContractValueBandUnk"	"GrantCat10B"
23	"RFCD320799"	30	""	""	""	"EXT_CHIEF_INVESTIGATOR"	""	""	""	""	""	""	"DurationUnk"	""	""	""	""	""	""	0	"Sponsor62B"	"ContractValueBandUnk"	"GrantCat10B"
24	"RFCD291801"	60	"SEO671403"	40	4902	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	""	"Dept2053"	"Faculty19"	"Yes"	"Duration5to10"	1	0	1	3	4	1	1	"Sponsor2B"	"ContractValueBandD"	"GrantCat10A"
24	"RFCD291804"	30	"SEO671402"	30	127447	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	""	"Dept2053"	"Faculty19"	"Yes"	"DurationLT0"	0	0	0	0	0	0	1	"Sponsor2B"	"ContractValueBandD"	"GrantCat10A"
25	""	""	""	""	82567	"DELEGATED_RESEARCHER"	"1955"	"Australia"	"English"	"Dept2678"	"Faculty25"	"Yes"	"DurationGT15"	0	0	0	0	0	0	1	"Sponsor138B"	"ContractValueBandUnk"	"GrantCat30B"
25	"RFCD330305"	100	"SEO740301"	100	78947	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	""	"Dept2553"	"Faculty25"	""	"DurationLT0"	1	1	0	3	3	1	1	"Sponsor138B"	"ContractValueBandUnk"	"GrantCat30B"
25	""	""	""	""	""	"EXT_CHIEF_INVESTIGATOR"	""	""	""	""	""	""	"DurationUnk"	""	""	""	""	""	""	1	"Sponsor138B"	"ContractValueBandUnk"	"GrantCat30B"
26	""	""	""	""	36527	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	""	"Dept2653"	"Faculty25"	""	"Duration0to5"	1	4	0	0	0	0	0	"SponsorUnk"	"ContractValueBandA"	"GrantCatUnk"
27	""	""	""	""	16137	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	""	"Dept2653"	"Faculty25"	""	"Duration5to10"	1	5	4	3	1	0	0	"SponsorUnk"	"ContractValueBandC"	"GrantCatUnk"
28	"RFCD270299"	100	"SEO730108"	80	20927	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	""	"Dept2578"	"Faculty25"	"Yes"	"Duration5to10"	0	1	0	2	2	0	0	"SponsorUnk"	"ContractValueBandUnk"	"GrantCatUnk"
29	"RFCD270603"	50	"SEO730106"	100	1797	"CHIEF_INVESTIGATOR"	"1960"	"NorthAmerica"	""	"Dept2678"	"Faculty25"	"Yes"	"Duration5to10"	2	7	0	8	4	0	0	"Sponsor60D"	"ContractValueBandUnk"	"GrantCat30D"
29	""	""	""	""	""	"EXT_CHIEF_INVESTIGATOR"	""	""	""	""	""	""	"DurationUnk"	""	""	""	""	""	""	0	"Sponsor60D"	"ContractValueBandUnk"	"GrantCat30D"
29	""	""	""	""	""	"EXT_CHIEF_INVESTIGATOR"	""	""	""	""	""	""	"DurationUnk"	""	""	""	""	""	""	0	"Sponsor60D"	"ContractValueBandUnk"	"GrantCat30D"
29	"RFCD321004"	50	""	""	""	"EXT_CHIEF_INVESTIGATOR"	""	""	""	""	""	""	"DurationUnk"	""	""	""	""	""	""	0	"Sponsor60D"	"ContractValueBandUnk"	"GrantCat30D"
30	"RFCD350201"	60	"SEO720403"	60	3067	"CHIEF_INVESTIGATOR"	"1950"	""	""	""	""	""	"DurationUnk"	0	0	3	3	1	0	1	"Sponsor2B"	"ContractValueBandB"	"GrantCat10A"
30	""	""	""	""	43587	"CHIEF_INVESTIGATOR"	"1960"	"NorthAmerica"	""	"Dept1623"	"Faculty13"	""	"DurationUnk"	3	0	0	2	0	0	1	"Sponsor2B"	"ContractValueBandB"	"GrantCat10A"
30	""	""	""	""	15987	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	""	"Dept1623"	"Faculty13"	"Yes"	"Duration5to10"	0	0	1	3	2	2	1	"Sponsor2B"	"ContractValueBandB"	"GrantCat10A"
30	"RFCD380108"	40	"SEO750101"	40	51027	"CHIEF_INVESTIGATOR"	"1960"	""	""	""	""	""	"DurationUnk"	0	0	0	0	0	0	1	"Sponsor2B"	"ContractValueBandB"	"GrantCat10A"
31	"RFCD400303"	80	"SEO750802"	80	39817	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	""	"Dept653"	"Faculty7"	""	"Duration0to5"	0	1	0	0	0	0	0	"Sponsor143C"	"ContractValueBandUnk"	"GrantCat30B"
32	"RFCD320702"	100	"SEO730104"	100	69032	"DELEGATED_RESEARCHER"	"1965"	"Australia"	"English"	"Dept2538"	"Faculty25"	"Yes"	"Duration0to5"	1	2	4	2	3	1	0	"Sponsor60D"	"ContractValueBandH"	"GrantCat30D"
32	""	""	""	""	""	"EXT_CHIEF_INVESTIGATOR"	""	""	""	""	""	""	"DurationUnk"	""	""	""	""	""	""	0	"Sponsor60D"	"ContractValueBandH"	"GrantCat30D"
32	""	""	""	""	64842	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	""	"Dept2538"	"Faculty25"	"Yes"	"Duration0to5"	0	0	0	0	0	0	0	"Sponsor60D"	"ContractValueBandH"	"GrantCat30D"
33	"RFCD321021"	20	"SEO730211"	25	35602	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	""	"Dept2653"	"Faculty25"	"Yes"	"Duration0to5"	1	0	9	5	5	4	1	"Sponsor4D"	"ContractValueBandUnk"	"GrantCat10A"
33	""	""	""	""	""	"EXT_CHIEF_INVESTIGATOR"	""	""	""	""	""	""	"DurationUnk"	""	""	""	""	""	""	1	"Sponsor4D"	"ContractValueBandUnk"	"GrantCat10A"
33	"RFCD321020"	20	"SEO730203"	25	131432	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	""	"Dept2653"	"Faculty25"	"Yes"	"Duration0to5"	0	0	4	5	6	0	1	"Sponsor4D"	"ContractValueBandUnk"	"GrantCat10A"
33	""	""	""	""	76432	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	"English"	"Dept2653"	"Faculty25"	""	"Duration0to5"	0	0	0	0	0	0	1	"Sponsor4D"	"ContractValueBandUnk"	"GrantCat10A"
33	"RFCD321013"	20	"SEO730104"	25	28502	"CHIEF_INVESTIGATOR"	"1970"	"NewZealand"	""	"Dept2603"	"Faculty25"	"Yes"	"Duration0to5"	0	0	0	0	0	0	1	"Sponsor4D"	"ContractValueBandUnk"	"GrantCat10A"
33	"RFCD321204"	20	""	""	537	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	""	""	"Faculty25"	"Yes"	"Duration10to15"	2	0	9	9	13	2	1	"Sponsor4D"	"ContractValueBandUnk"	"GrantCat10A"
33	"RFCD320702"	20	"SEO670502"	25	69262	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	""	"Dept2653"	"Faculty25"	"Yes"	"Duration10to15"	1	0	7	5	7	7	1	"Sponsor4D"	"ContractValueBandUnk"	"GrantCat10A"
34	"RFCD330107"	100	"SEO740201"	40	4247	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	""	"Dept2298"	"Faculty46"	""	"DurationLT0"	0	1	0	0	0	0	0	"Sponsor24D"	"ContractValueBandA"	"GrantCat30B"
35	"RFCD260602"	40	"SEO770101"	40	""	"EXT_CHIEF_INVESTIGATOR"	""	""	""	""	""	""	"DurationUnk"	""	""	""	""	""	""	1	"Sponsor2B"	"ContractValueBandUnk"	"GrantCat10A"
35	"RFCD260112"	10	""	""	""	"EXT_CHIEF_INVESTIGATOR"	""	""	""	""	""	""	"DurationUnk"	""	""	""	""	""	""	1	"Sponsor2B"	"ContractValueBandUnk"	"GrantCat10A"
35	"RFCD260109"	50	"SEO780104"	60	5287	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	""	"Dept3123"	"Faculty31"	"Yes"	"Duration0to5"	2	1	8	3	1	0	1	"Sponsor2B"	"ContractValueBandUnk"	"GrantCat10A"
36	"RFCD270104"	100	"SEO730105"	100	66887	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	""	"Dept2813"	"Faculty25"	""	"DurationLT0"	0	2	0	5	2	0	0	"Sponsor148D"	"ContractValueBandA"	"GrantCat30B"
37	"RFCD270201"	100	"SEO630104"	100	70662	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	""	"Dept3268"	"Faculty31"	""	"DurationLT0"	1	1	0	3	0	0	0	"SponsorUnk"	"ContractValueBandA"	"GrantCatUnk"
38	"RFCD321004"	100	"SEO730105"	100	69812	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	""	"Dept2813"	"Faculty25"	""	"Duration5to10"	1	5	10	7	9	1	0	"Sponsor90B"	"ContractValueBandUnk"	"GrantCat30G"
39	""	""	""	""	""	"EXT_CHIEF_INVESTIGATOR"	""	""	""	""	""	""	"DurationUnk"	""	""	""	""	""	""	0	"Sponsor2B"	"ContractValueBandG"	"GrantCat10A"
39	"RFCD291002"	20	""	""	""	"EXT_CHIEF_INVESTIGATOR"	""	""	""	""	""	""	"DurationUnk"	""	""	""	""	""	""	0	"Sponsor2B"	"ContractValueBandG"	"GrantCat10A"
39	"RFCD270703"	30	"SEO770202"	50	""	"EXT_CHIEF_INVESTIGATOR"	""	""	""	""	""	""	"DurationUnk"	""	""	""	""	""	""	0	"Sponsor2B"	"ContractValueBandG"	"GrantCat10A"
39	""	""	""	""	""	"EXT_CHIEF_INVESTIGATOR"	""	""	""	""	""	""	"DurationUnk"	""	""	""	""	""	""	0	"Sponsor2B"	"ContractValueBandG"	"GrantCat10A"
39	"RFCD300105"	50	"SEO770802"	50	35382	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	""	"Dept2103"	"Faculty19"	""	"DurationLT0"	0	1	4	9	0	0	0	"Sponsor2B"	"ContractValueBandG"	"GrantCat10A"
39	""	""	""	""	""	"EXT_CHIEF_INVESTIGATOR"	""	""	""	""	""	""	"DurationUnk"	""	""	""	""	""	""	0	"Sponsor2B"	"ContractValueBandG"	"GrantCat10A"
40	"RFCD321028"	50	"SEO730114"	100	149767	"CHIEF_INVESTIGATOR"	"1975"	"Australia"	""	"Dept2828"	"Faculty25"	""	"DurationUnk"	1	2	0	0	0	0	0	"SponsorUnk"	"ContractValueBandB"	"GrantCatUnk"
41	"RFCD321216"	50	"SEO730201"	50	63562	"CHIEF_INVESTIGATOR"	"1940"	"Australia"	""	"Dept2523"	"Faculty25"	""	"DurationLT0"	1	1	0	2	5	2	0	"Sponsor18B"	"ContractValueBandUnk"	"GrantCat20C"
42	"RFCD320702"	40	"SEO730000"	40	71867	"CHIEF_INVESTIGATOR"	"1945"	"Australia"	""	"Dept2578"	"Faculty25"	"Yes"	"Duration10to15"	3	1	7	19	26	13	0	"Sponsor4D"	"ContractValueBandUnk"	"GrantCat10A"
42	"RFCD320703"	40	"SEO730104"	40	""	"STUD_CHIEF_INVESTIGATOR"	""	""	""	""	""	""	"DurationUnk"	""	""	""	""	""	""	0	"Sponsor4D"	"ContractValueBandUnk"	"GrantCat10A"
43	""	""	""	""	78817	"CHIEF_INVESTIGATOR"	"1950"	"WesternEurope"	""	""	"Faculty25"	"Yes"	"DurationGT15"	2	0	4	8	6	2	1	"Sponsor29A"	"ContractValueBandA"	"GrantCat10B"
43	""	""	""	""	8462	"DELEGATED_RESEARCHER"	"1950"	"Australia"	""	"Dept2713"	"Faculty25"	"Yes"	"Duration5to10"	0	0	1	0	3	0	1	"Sponsor29A"	"ContractValueBandA"	"GrantCat10B"
43	"RFCD321004"	40	"SEO730105"	40	142457	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	""	"Dept2713"	"Faculty25"	""	"DurationLT0"	1	1	0	0	0	0	1	"Sponsor29A"	"ContractValueBandA"	"GrantCat10B"
43	""	""	""	""	72037	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	""	"Dept2713"	"Faculty25"	"Yes"	"Duration5to10"	1	3	4	3	5	0	1	"Sponsor29A"	"ContractValueBandA"	"GrantCat10B"
43	"RFCD321003"	60	"SEO730106"	60	86672	"CHIEF_INVESTIGATOR"	"1975"	"Australia"	""	"Dept2713"	"Faculty25"	"Yes"	"Duration0to5"	1	0	0	0	0	0	1	"Sponsor29A"	"ContractValueBandA"	"GrantCat10B"
44	""	""	""	""	""	"STUD_CHIEF_INVESTIGATOR"	""	""	""	""	""	""	"DurationUnk"	""	""	""	""	""	""	1	"Sponsor136D"	"ContractValueBandUnk"	"GrantCat30B"
44	"RFCD321004"	100	"SEO730105"	100	74162	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	""	"Dept2813"	"Faculty25"	"Yes"	"Duration5to10"	1	0	10	19	7	6	1	"Sponsor136D"	"ContractValueBandUnk"	"GrantCat30B"
